seconds,region,resource_energy,harvested,mature,cells,mean_body,lineages,motors,sensors
0,0,0,0,1,5,5,1,0,0
0,1,0,0,1,4,4,1,2,1
0,2,0,0,1,9,9,1,2,1
0,3,0,0,1,7,7,1,3,0
30,0,0,0,1,5,5,1,0,0
30,1,0,0,3,12,4,1,6,3
30,2,0,0,3,26,8.66667,3,7,2
30,3,0,0,2,14,7,1,3,0
60,0,0,0,2,10,5,1,0,0
60,1,0,0,2,8,4,1,4,2
60,2,0,0,3,26,8.66667,3,7,2
60,3,0,0,2,14,7,1,3,0
90,0,0,0,2,10,5,1,0,0
90,1,0,0,2,8,4,1,4,2
90,2,0,0,4,34,8.5,2,9,3
90,3,0,0,3,18,6,2,2,1
120,0,0,0,7,36,5.14286,3,8,4
120,1,0,0,8,31,3.875,1,15,8
120,2,0,0,4,34,8.5,2,9,3
120,3,0,0,5,26,5.2,2,6,3
150,0,0,0,12,52,4.33333,3,15,8
150,1,0,0,5,20,4,1,8,5
150,2,0,0,2,11,5.5,2,5,1
150,3,0,0,9,48,5.33333,2,10,5
180,0,0,0,11,45,4.09091,2,14,8
180,1,0,0,10,38,3.8,1,16,10
180,2,0,0,4,16,4,1,8,4
180,3,0,0,12,60,5,2,16,8
210,0,0,0,11,46,4.18182,2,18,9
210,1,0,0,11,43,3.90909,1,21,11
210,2,0,0,6,23,3.83333,1,11,6
210,3,0,0,13,60,4.61538,3,19,11
240,0,0,0,8,35,4.375,2,13,6
240,1,0,0,10,36,3.6,1,17,9
240,2,0,0,5,21,4.2,2,11,5
240,3,0,0,10,47,4.7,3,16,8
270,0,0,0,10,41,4.1,3,19,8
270,1,0,0,10,39,3.9,2,20,9
270,2,0,0,6,25,4.16667,2,13,6
270,3,0,0,8,41,5.125,3,9,5
300,0,0,0,15,58,3.86667,3,27,11
300,1,0,0,13,46,3.53846,2,24,9
300,2,0,0,7,29,4.14286,2,15,7
300,3,0,0,7,34,4.85714,2,10,5
330,0,0,0,13,49,3.76923,2,23,12
330,1,0,0,7,28,4,1,13,7
330,2,0,0,7,30,4.28571,2,16,7
330,3,0,0,14,62,4.42857,2,24,12
360,0,0,0,6,23,3.83333,1,11,6
360,1,0,0,8,32,4,1,15,8
360,2,0,0,8,32,4,2,16,8
360,3,0,0,15,66,4.4,2,26,13
390,0,0,0,9,37,4.11111,2,20,8
390,1,0,0,10,39,3.9,1,19,10
390,2,0,0,8,32,4,1,16,8
390,3,0,0,11,50,4.54545,2,18,9
420,0,0,0,11,44,4,1,22,11
420,1,0,0,10,40,4,1,20,10
420,2,0,0,7,28,4,1,14,7
420,3,0,0,4,15,3.75,1,7,4
450,0,0,0,11,44,4,1,22,11
450,1,0,0,8,32,4,1,16,7
450,2,0,0,7,27,3.85714,1,13,7
450,3,0,0,4,15,3.75,1,7,4
480,0,0,0,13,52,4,1,26,13
480,1,0,0,5,20,4,1,10,3
480,2,0,0,9,36,4,1,18,9
480,3,0,0,7,29,4.14286,1,15,7
510,0,0,0,11,44,4,1,22,11
510,1,0,0,8,32,4,1,16,8
510,2,0,0,5,20,4,1,9,5
510,3,0,0,5,22,4.4,1,12,5
540,0,0,0,6,24,4,1,12,6
540,1,0,0,14,49,3.5,2,22,13
540,2,0,0,6,24,4,1,11,6
540,3,0,0,7,29,4.14286,1,15,7
570,0,0,0,7,29,4.14286,1,15,7
570,1,0,0,7,27,3.85714,1,13,7
570,2,0,0,8,32,4,1,16,8
570,3,0,0,15,59,3.93333,1,29,15
600,0,0,0,5,19,3.8,1,9,5
600,1,0,0,9,36,4,1,17,9
600,2,0,0,8,32,4,1,16,8
600,3,0,0,9,35,3.88889,2,18,8
630,0,0,0,6,24,4,1,12,6
630,1,0,0,11,44,4,1,21,11
630,2,0,0,8,32,4,1,16,7
630,3,0,0,9,35,3.88889,3,17,8
660,0,0,0,12,47,3.91667,2,21,12
660,1,0,0,8,28,3.5,1,13,7
660,2,0,0,5,20,4,1,10,5
660,3,0,0,7,29,4.14286,2,14,7
690,0,0,0,7,28,4,1,14,7
690,1,0,0,9,36,4,1,18,9
690,2,0,0,5,20,4,1,10,5
690,3,0,0,10,37,3.7,1,17,10
720,0,0,0,13,51,3.92308,1,25,13
720,1,0,0,7,30,4.28571,1,16,7
720,2,0,0,8,32,4,1,16,8
720,3,0,0,15,53,3.53333,1,23,15
750,0,0,0,7,30,4.28571,1,16,7
750,1,0,0,10,39,3.9,1,19,10
750,2,0,0,12,48,4,1,24,12
750,3,0,0,12,43,3.58333,1,19,10
780,0,0,0,11,42,3.81818,1,21,10
780,1,0,0,9,36,4,1,18,9
780,2,0,0,7,28,4,1,14,7
780,3,0,0,9,35,3.88889,1,17,9
810,0,0,0,7,28,4,1,14,7
810,1,0,0,8,37,4.625,2,18,9
810,2,0,0,7,28,4,1,14,7
810,3,0,0,10,38,3.8,1,18,10
840,0,0,0,8,32,4,1,16,8
840,1,0,0,10,40,4,1,20,10
840,2,0,0,6,23,3.83333,2,12,5
840,3,0,0,14,52,3.71429,1,24,14
870,0,0,0,9,36,4,1,18,9
870,1,0,0,11,44,4,1,22,11
870,2,0,0,10,37,3.7,2,20,7
870,3,0,0,10,36,3.6,1,17,9
900,0,0,0,8,32,4,1,16,8
900,1,0,0,8,32,4,1,16,8
900,2,0,0,6,22,3.66667,1,10,6
900,3,0,0,11,43,3.90909,1,21,11
930,0,0,0,8,33,4.125,2,17,8
930,1,0,0,8,32,4,1,16,8
930,2,0,0,8,32,4,1,16,8
930,3,0,0,10,40,4,1,20,10
960,0,0,0,9,36,4,1,18,9
960,1,0,0,7,28,4,1,14,7
960,2,0,0,10,40,4,1,20,10
960,3,0,0,8,32,4,1,16,8
990,0,0,0,10,40,4,1,20,10
990,1,0,0,7,28,4,1,14,6
990,2,0,0,5,20,4,1,10,5
990,3,0,0,11,46,4.18182,1,22,12
1020,0,0,0,11,44,4,1,21,11
1020,1,0,0,8,32,4,1,16,7
1020,2,0,0,7,28,4,1,14,7
1020,3,0,0,9,36,4,1,18,9
1050,0,0,0,9,37,4.11111,1,18,9
1050,1,0,0,10,39,3.9,1,19,9
1050,2,0,0,8,32,4,1,16,8
1050,3,0,0,6,24,4,1,12,6
1080,0,0,0,8,30,3.75,1,14,8
1080,1,0,0,9,35,3.88889,1,17,9
1080,2,0,0,1,4,4,1,2,1
1080,3,0,0,12,49,4.08333,2,25,12
1110,0,0,0,14,56,4,1,28,14
1110,1,0,0,6,22,3.66667,1,10,6
1110,2,0,0,3,13,4.33333,2,7,3
1110,3,0,0,5,20,4,1,10,5
1140,0,0,0,9,35,3.88889,1,17,9
1140,1,0,0,8,30,3.75,1,14,8
1140,2,0,0,2,10,5,1,6,2
1140,3,0,0,7,28,4,1,14,7
1170,0,0,0,7,28,4,1,14,7
1170,1,0,0,14,54,3.85714,1,26,14
1170,2,0,0,4,17,4.25,2,9,4
1170,3,0,0,12,47,3.91667,1,23,12
1200,0,0,0,9,33,3.66667,1,16,8
1200,1,0,0,9,36,4,2,17,10
1200,2,0,0,4,17,4.25,2,9,4
1200,3,0,0,14,56,4,1,28,14
1230,0,0,0,12,48,4,1,24,12
1230,1,0,0,9,35,3.88889,1,16,9
1230,2,0,0,6,27,4.5,2,15,6
1230,3,0,0,7,28,4,1,14,7
1260,0,0,0,10,40,4,1,20,9
1260,1,0,0,6,24,4,1,11,6
1260,2,0,0,3,12,4,1,6,3
1260,3,0,0,6,24,4,1,12,6
1290,0,0,0,4,17,4.25,2,9,4
1290,1,0,0,13,50,3.84615,1,22,13
1290,2,0,0,2,8,4,1,4,2
1290,3,0,0,14,56,4,1,27,14
1320,0,0,0,8,34,4.25,2,17,8
1320,1,0,0,6,24,4,1,11,6
1320,2,0,0,3,12,4,1,6,3
1320,3,0,0,11,43,3.90909,1,21,11
1350,0,0,0,9,38,4.22222,1,18,9
1350,1,0,0,8,34,4.25,1,16,9
1350,2,0,0,5,20,4,1,10,5
1350,3,0,0,10,39,3.9,1,19,10
1380,0,0,0,13,54,4.15385,1,26,14
1380,1,0,0,7,29,4.14286,1,14,7
1380,2,0,0,5,20,4,1,9,5
1380,3,0,0,3,12,4,1,6,3
1410,0,0,0,6,26,4.33333,1,12,6
